ID	STRUCTURE	FREQUENCY	Arhuaco	Bari	Boruca	Bribri	Buglere	Cabecar	Cacaopera	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	LencaHonduras	LencaSalvador	Malayo	MalekuJaika	Mayangna	Miskito	Ngabere	Pech	Rama	SanBlasKuna	Teribe	Ulwa	COGNATESETS	CONCEPTS
167-1	V	1	ɨ	Ø	Ø	-	Ø	Ø	Ø	Ø	e	Ø	ĩ	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	a	o	Ø	479:2	hair
229-1	V	1	ɨ	Ø	-	-	a	-	u	a	a	e	i	a	Ø	Ø	a	uː	-	Ø	a	Ø	Ø	a	-	-	1298:3	cloud
238-1	V	1	ɨ	i	-	ʊ	Ø	ʊ	Ø	a	a	a	a	a	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	aː	Ø	o	Ø	1364:4	ear
71-36	V	36	ə	i	a	a	-	a	a	e	i	aː	a	a	a	a	ɨ	o	a	a	-	a	aː	a	Ø	a	281:1, 345:1, 758:0, 758:2, 1150:0, 1150:2, 1186:1, 1186:3, 360:0, 360:3, 689:2, 1057:1, 1360:3, 1368:1, 1368:3, 700:0, 700:5, 1070:0, 1121:3, 1121:5, 329:0, 955:0, 1:1, 50:1, 59:1, 123:3, 143:0, 219:1, 344:1, 404:2, 457:1, 662:1, 845:1, 1149:3, 1192:0, 1346:0	I / bark (of tree) / breast / come (v.) / cry (v.) / ear / father / foot / four / good / hand / hit (v.) / laugh (v.) / man / moon / mountain / mouth / old / one / salt / smell (v.) / tooth / water / with / woman / yellow / you (plural)
154-13	V	13	ə	a	a	ã	-	ã	i	a	ɨ	aː	a	a	e	e	ɨ	oː	a	a	ɔ	a	aː	a	-	a	288:1, 288:4, 99:3, 115:1, 140:0, 209:1, 282:1, 289:1, 459:0, 527:1, 585:1, 782:2, 813:5	I / breast / earth / feather / few / forest / he / laugh (v.) / salt / sand / sing (v.) / yellow
111-6	V	6	ə	a	Ø	a	Ø	a	a	a	ɨ	e	a	i	Ø	a	ɨ	aː	a	a	-	a	-	a	o	a	214:1, 385:1, 601:1, 732:1, 761:1, 1234:2	child / give (v.) / green / meat / salt / tooth
6-2	V	2	ə	a	a	a	-	a	Ø	a	ɨ	oː	a	a	Ø	Ø	ɨ	Ø	a	Ø	i	Ø	a	a	-	a	215:1, 772:1	salt / sleep (v.)
28-2	V	2	ə	ã	Ø	e	a	i	Ø	o	Ø	aː	a	Ø	Ø	Ø	-	o	Ø	Ø	Ø	a	aː	-	Ø	Ø	458:1, 842:0	I / fire
33-2	V	2	ə	Ø	Ø	Ø	Ø	Ø	i	i	i	iː	u	Ø	e	e	u	Ø	Ø	Ø	i	Ø	iː	a	o	Ø	568:3, 757:1	path / tooth
77-2	V	2	ə	Ø	u	Ø	-	u	Ø	Ø	u	aː	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	1050:2, 1159:5	mountain / tongue
