ID	STRUCTURE	FREQUENCY	Apuri	Apurimac	Atalla	Ayacucho	Azuay	Chachapoyas	Chetilla	Huallaga	Huangascar	HuarazHuailas	Imbabura	Inkawasi	Jauja	Maragua	Napo	Pacaraos	Puno	Santiagueno	Yanac	COGNATESETS	CONCEPTS
141-2	V	2	u	o	u	o	u	u	u	u	u	u	u	u	u	u	u	o	u	o	u	514:1, 567:3	nine / smoke
153-1	V	1	u	o	u	o	u	u	u	u	u	u	u	u	u	u	u	u	u	o	u	557:1	new
199-1	V	1	u	Ø	u	Ø	Ø	Ø	u	Ø	u	Ø	u	Ø	Ø	Ø	Ø	o	Ø	Ø	o	705:5	star
214-1	V	1	u	o	u	u	u	u	u	u	u	u	Ø	Ø	u	Ø	u	u	u	u	u	781:1	brother (man's) / brother (woman's)
196-1	V	1	oi	Ø	Ø	oi	ui	Ø	Ø	ui	Ø	ai	Ø	u	ui	Ø	Ø	Ø	Ø	o	Ø	704:1	star
23-13	V	13	o	o	u	o	u	u	u	u	o	u	u	u	u	u	u	o	u	o	u	400:1, 400:3, 19:3, 212:1, 243:1, 268:1, 276:4, 434:1, 499:3, 532:0, 636:2, 783:1, 874:0	be sick / bird / dog / elbow / give, to / grass / knee / left (hand side) / man SW adult, male / mountain / sand / suck, to / warm / hot SW
85-6	V	6	o	o	u	o	u	u	u	u	o	o	u	u	u	u	u	o	u	o	u	260:1, 399:1, 435:2, 557:3, 700:1, 791:1	gold / knee / left (hand side) / new / spit, to / we (inclusive)
90-3	V	3	o	o	Ø	u	u	u	u	u	o	o	u	u	u	u	u	u	u	o	u	279:1, 399:4, 499:0	green / knee / man SW adult, male
164-2	V	2	o	o	u	o	o	u	u	u	o	o	u	o	u	u	u	o	u	o	u	608:2, 673:1	river / six
76-1	V	1	o	o	u	o	Ø	u	o	u	o	o	Ø	Ø	u	u	Ø	o	u	o	u	224:2	fox
115-1	V	1	o	o	u	o	u	u	u	u	o	o	u	u	u	u	au	o	u	o	u	389:1	husband
202-1	V	1	o	Ø	u	o	Ø	u	Ø	u	o	o	Ø	u	o	Ø	Ø	o	Ø	Ø	u	713:1	suck, to
