ID	STRUCTURE	FREQUENCY	Apuri	Apurimac	Atalla	Ayacucho	Azuay	Chachapoyas	Chetilla	Huallaga	Huangascar	HuarazHuailas	Imbabura	Inkawasi	Jauja	Maragua	Napo	Pacaraos	Puno	Santiagueno	Yanac	COGNATESETS	CONCEPTS
130-1	C	1	Ø	s	Ø	Ø	w	Ø	Ø	w	Ø	w	Ø	Ø	w	Ø	Ø	w	Ø	Ø	Ø	470:0	lip
134-1	C	1	Ø	Ø	Ø	Ø	Ø	Ø	ʁ	q	Ø	q	Ø	ɢ	ʔ	Ø	Ø	χ	Ø	Ø	q	499:2	man SW adult, male
165-1	C	1	Ø	ɲ	Ø	ɲ	ɲ	ɲ	ɲ	Ø	Ø	Ø	ɲ	n	Ø	j	ɲ	Ø	ɲ	ɲ	Ø	610:0	road
187-1	C	1	Ø	ɲ	ɲ	n	n	n	Ø	Ø	Ø	n	n	Ø	Ø	ɲ	n	Ø	ɲ	n	Ø	685:3	smoke
210-1	C	1	Ø	kʼ	Ø	Ø	k	k	k	Ø	Ø	Ø	x	k	Ø	kʼ	Ø	Ø	kʼ	k	k	754:2	tire
235-1	C	1	Ø	p	p	p	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	qʰ	Ø	Ø	pʰ	Ø	Ø	872:2	leaf
7-24	C	24	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	12:0, 104:2, 624:0, 822:0, 869:0, 36:2, 65:0, 83:0, 101:1, 172:0, 197:2, 362:0, 372:0, 380:0, 588:3, 615:0, 724:0, 725:0, 787:0, 806:0, 830:0, 834:3, 841:0, 843:0	back / belly (stomach) / cry, to / die, to / eye / face / flower / fly, to / go, to / grass / hear, to / high up / hit, to / horn / live, to / old (woman) / rope / swim, to / wind / woman / year / yellow / young (female) / young (male)
66-5	C	5	w	w	w	w	w	w	w	w	w	w	w	w	w	w	Ø	w	w	-	w	183:2, 214:2, 537:2, 641:2, 816:0	blood / fly, to / four / see, to / with
59-2	C	2	w	w	w	w	w	w	w	w	w	w	ɸ	w	w	w	-	w	w	w	w	135:0, 449:3	fat (grease) / lick, to
205-1	C	1	w	w	w	w	w	w	Ø	w	w	w	w	Ø	w	Ø	w	w	Ø	w	ɢ	740:0	brother (man's)
21-9	C	9	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	ts	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	ts	696:0, 696:2, 286:0, 286:3, 282:0, 435:1, 535:3, 577:2, 852:0	breast / cold / green / hair / left (hand side) / mouse / old (man) / suck, to
40-4	C	4	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	ts	tʃ	tʃ	tʃ	tʃʼ	tʃ	s	tʃʼ	tʃ	ts	40:0, 94:0, 287:2, 621:0	branch / dry / empty / hair
61-1	C	1	tʃ	s	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	ts	ʃ	Ø	tʃ	ʃ	tʃ	s	s	ʃ	ts	162:2	five
139-1	C	1	tʃ	Ø	Ø	Ø	Ø	Ø	Ø	tʃ	tʃ	Ø	Ø	Ø	tʃ	Ø	Ø	tʃ	Ø	Ø	tʃ	512:1	small
144-1	C	1	tʃ	s	tʃ	tʃ	tʃ	Ø	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	ʃ	ʃ	Ø	ʃ	tʃ	ts	515:1	many
147-1	C	1	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	ts	tʃ	tʃ	tʃ	tʃ	tʃ	s	tʃ	tʃ	ts	522:1	meat SW flesh
158-1	C	1	tʃ	Ø	Ø	Ø	Ø	Ø	Ø	tʃ	tʃ	Ø	Ø	Ø	tʃ	Ø	Ø	s	Ø	Ø	ʈʂ	588:0	old (woman)
175-1	C	1	tʃ	tʃ	tʃ	tʃ	tʃ	ʈʂ	tʃ	tʃ	tʃ	tʃ	tʃ	Ø	Ø	tʃ	dʒ	ʈʂ	tʃ	tʃ	tʃ	647:3	seven
219-1	C	1	tʃ	tʃ	tʃ	tʃ	tʃ	tʃ	dʒ	tʃ	tʃ	ts	tʃ	tʃ	Ø	tʃ	tʃ	s	tʃ	Ø	ts	791:5	we (inclusive)
10-20	C	20	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	189:2, 548:2, 581:0, 673:3, 830:2, 559:0, 559:2, 174:0, 174:3, 102:3, 214:0, 371:0, 372:3, 593:0, 594:0, 668:0, 781:0, 787:3, 848:4, 862:0	back / big / bone / brother (man's) / brother (woman's) / cloud / flower / four / hit, to / name / night / push, to / rain / sit, to / six / small / year / young (male)
63-5	C	5	t	t	t	t	t	t	Ø	Ø	t	t	t	Ø	t	tʼ	t	tʃ	tʼ	t	t	172:2, 180:0, 202:2, 635:0, 724:2	flower / forehead / sand / swim, to
47-3	C	3	t	t	t	t	t	d	d	t	t	t	t	d	t	t	d	j	t	t	t	68:3, 514:3, 717:2	egg / smoke / sun
75-1	C	1	t	t	t	t	Ø	t	t	t	t	t	Ø	Ø	t	t	Ø	tʃ	t	t	t	224:1	fox
79-1	C	1	t	t	t	t	d	d	d	t	t	t	d	d	t	tʼ	d	t	tʼ	t	t	233:3	full
178-1	C	1	t	t	t	t	d	d	d	t	t	t	t	d	t	tʰ	d	t	tʰ	t	t	655:3	shadow
179-1	C	1	t	t	t	t	t	t	t	t	t	t	t	t	t	tʼ	t	t	tʼ	t	t	658:0	bread
180-1	C	1	t	t	t	t	d	d	d	t	t	t	d	d	t	t	d	t	t	t	t	658:3	bread
190-1	C	1	t	Ø	t	t	t	t	t	t	t	t	t	t	t	tʰ	Ø	t	tʰ	t	t	700:0	spit, to
22-5	C	5	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	w	s	s	s	170:0, 170:2, 75:2, 482:2, 652:0	eight / flower / live, to / sew, to
156-3	C	3	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	571:0, 616:0, 647:5	nose / root / seven
50-2	C	2	s	s	s	s	-	s	Ø	Ø	s	Ø	s	Ø	s	s	s	Ø	s	s	-	83:3, 766:0	belly (stomach) / tree
74-2	C	2	s	s	s	s	s	s	s	s	s	s	s	Ø	s	ʃ	s	s	s	ʃ	s	215:2, 567:1	four / nine
128-2	C	2	s	s	z	s	s	s	s	s	s	-	s	s	s	s	s	-	s	s	s	453:3, 750:3	push, to / three
192-2	C	2	s	s	s	s	ʃ	ʃ	ʃ	ʃ	s	ʃ	ʃ	ʃ	ʂ	s	ʃ	Ø	s	s	ʃ	701:0, 862:3	small / stand, to
60-1	C	1	s	s	s	s	ʃ	ʃ	ʃ	ʃ	s	ʃ	s	s	ʃ	s	ʃ	ʃ	s	s	ʃ	147:0	fingernail
108-1	C	1	s	s	s	s	ʃ	ç	ʃ	s	s	s	ʃ	ʃ	s	s	ʃ	s	s	s	s	339:2	heavy
116-1	C	1	s	s	s	s	s	s	s	s	s	w	s	s	s	s	s	w	s	s	s	389:2	husband
120-1	C	1	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	j	s	s	s	416:1	laugh, to
132-1	C	1	s	s	s	s	s	s	s	s	s	x	s	Ø	s	s	s	w	s	s	s	490:1	louse
152-1	C	1	s	s	s	s	ʃ	ʃ	ʃ	h	s	x	ʃ	ʃ	s	s	ʃ	x	s	s	ʃ	548:0	name
170-1	C	1	s	s	s	s	s	s	s	s	s	s	s	s	s	ʃ	s	s	s	s	s	624:2	rope
184-1	C	1	s	s	s	s	s	s	s	s	s	x	s	Ø	s	s	s	x	s	ʃ	s	673:0	six
198-1	C	1	s	Ø	z	Ø	Ø	Ø	z	Ø	s	Ø	z	Ø	Ø	Ø	Ø	s	Ø	Ø	s	705:2	star
146-2	C	2	r	r	r	ɾ	ɾ	r	r	ɾ	ɾ	ɾ	ɾ	r	w	r	r	ɾ	r	ɾ	r	521:2, 806:2	sew, to / wind
32-8	C	8	q	q	Ø	χ	g	k	Ø	h	q	x	g	-	Ø	q	g	x	q	q	-	4:0, 166:0, 212:3, 372:2, 425:3, 459:3, 521:0, 641:0	day / hit, to / leaf / light (not heavy) / mountain / see, to / sew, to / suck, to
35-5	C	5	q	q	χ	χ	k	k	ʁ	q	q	q	k	ʁ	ʔ	q	k	χ	q	q	q	19:2, 276:3, 567:2, 636:1, 740:2	bird / brother (man's) / dog / nine / sand
33-4	C	4	q	q	χ	χ	g	k	χ	χ	q	q	k	χ	ʔ	χ	χ	χ	χ	χ	q	4:4, 75:4, 102:2, 206:2	day / eight / forehead / young (male)
89-4	C	4	q	q	χ	χ	k	k	χ	χ	q	q	k	q	ʂ	qʼ	k	Ø	qʼ	q	q	279:0, 435:3, 685:0, 851:0	green / left (hand side) / smoke / yellow
53-3	C	3	q	q	χ	χ	g	k	q	χ	q	q	x	χ	ʔ	χ	-	χ	χ	χ	q	94:4, 224:3, 380:2	empty / fox / horn
70-3	C	3	q	q	χ	χ	k	k	q	q	q	q	x	χ	q	qʼ	k	χ	qʼ	Ø	Ø	197:0, 213:0, 783:0	grass / tree / warm / hot SW
84-3	C	3	q	q	χ	χ	k	k	q	q	q	q	k	χ	q	q	k	ʁ	q	q	q	260:0, 647:0, 677:0	gold / seven / skin
81-2	C	2	q	q	χ	χ	k	k	q	q	q	q	k	q	ʔ	q	k	χ	q	q	q	243:0, 399:0	give, to / knee
83-2	C	2	q	q	Ø	Ø	Ø	k	q	q	q	q	Ø	χ	ʔ	Ø	Ø	ʁ	Ø	x	q	256:2, 834:0	hit, to / yellow
96-2	C	2	q	Ø	Ø	Ø	g	Ø	χ	χ	q	q	k	χ	ʔ	Ø	k	χ	Ø	Ø	q	287:1, 381:0	hair / horn
105-2	C	2	q	q	ɢ	χ	g	g	q	q	q	q	g	Ø	ʔ	q	g	χ	q	q	q	328:3, 593:3	heart / push, to
118-2	C	2	q	q	ɢ	χ	g	g	g	q	q	q	g	ɢ	ʔ	q	g	χ	q	q	q	399:3, 571:3	knee / nose
122-2	C	2	q	k	χ	χ	k	k	Ø	q	q	q	k	ʁ	q	qʼ	k	χ	qʼ	χ	q	434:2, 713:2	left (hand side) / suck, to
133-2	C	2	q	q	χ	χ	k	Ø	Ø	q	q	q	k	χ	h	qʰ	k	Ø	qʰ	q	Ø	498:0, 704:0	man SW adult, male / star
62-1	C	1	q	k	χ	χ	k	k	ʁ	q	q	q	k	Ø	ʔ	q	k	ʁ	q	q	q	162:3	five
114-1	C	1	q	w	χ	χ	k	k	q	q	q	q	k	χ	ʔ	q	k	χ	q	q	q	389:0	husband
127-1	C	1	q	q	χ	χ	g	k	q	q	q	q	Ø	χ	ʔ	q	k	ʁ	χ	χ	q	449:2	lick, to
149-1	C	1	q	q	ɢ	χ	k	k	q	Ø	q	Ø	k	Ø	ʔ	q	k	Ø	q	q	Ø	532:2	mountain
154-1	C	1	q	q	χ	χ	g	k	χ	χ	q	q	x	x	ʔ	χ	-	χ	χ	χ	q	557:4	new
163-1	C	1	q	Ø	χ	χ	k	-	n	Ø	q	Ø	-	-	Ø	Ø	k	Ø	Ø	Ø	Ø	601:3	right (hand side)
185-1	C	1	q	q	χ	χ	g	k	x	χ	q	q	k	Ø	ʔ	x	k	χ	χ	χ	q	673:2	six
191-1	C	1	q	Ø	χ	χ	k	k	ʁ	q	q	q	k	ʁ	ʔ	q	Ø	χ	q	χ	q	700:2	spit, to
207-1	C	1	q	q	χ	χ	k	k	q	q	q	q	k	x	q	q	k	ʁ	q	q	q	748:0	thou (you sg.)
211-1	C	1	q	q	χ	χ	k	k	q	q	q	q	x	q	h	q	k	ʁ	q	q	q	759:0	tongue
218-1	C	1	q	q	χ	χ	q	k	ʁ	q	q	q	k	ʁ	Ø	q	k	χ	q	Ø	q	791:2	we (inclusive)
223-1	C	1	q	q	χ	χ	g	k	q	χ	q	q	x	q	ʔ	χ	χ	χ	χ	χ	q	798:4	white
232-1	C	1	q	q	χ	χ	k	k	ʁ	q	q	q	k	ʁ	ʔ	q	k	ʁ	q	χ	q	869:2	cry, to
236-1	C	1	q	q	ɢ	χ	Ø	Ø	Ø	Ø	q	Ø	k	Ø	Ø	q	g	Ø	q	q	Ø	874:2	be sick
11-24	C	24	p	p	p	p	p	p	p	p	p	p	p	p	p	p	p	p	p	p	p	348:0, 680:0, 729:2, 550:0, 550:2, 85:0, 848:0, 34:0, 109:2, 162:0, 206:0, 369:0, 424:2, 470:3, 587:0, 597:0, 660:0, 692:0, 718:2, 738:3, 755:0, 777:0, 801:0, 837:2	belly (stomach) / cloud / five / fly, to / forehead / hide, to / leaf / lip / navel / old (woman) / rain / red / root / sister (man's) / sleep, to / speak, to / sun / tail / think (over, about), to / tire / walk, to / who? / wing / young (female)
28-5	C	5	p	p	p	p	p	p	p	p	p	p	f	p	p	pʰ	p	p	pʰ	p	p	2:2, 183:0, 425:0, 459:0, 821:0	ash / cloud / fly, to / leaf / light (not heavy)
87-2	C	2	p	p	p	p	p	p	p	p	p	p	p	Ø	p	pʼ	p	p	pʼ	p	p	276:0, 875:0	bird / day
168-2	C	2	p	p	p	p	Ø	Ø	Ø	p	p	p	Ø	Ø	p	χ	Ø	k	Ø	Ø	Ø	621:2, 755:4	branch / tire
36-1	C	1	p	p	p	p	p	p	p	Ø	p	p	f	p	p	x	Ø	p	x	p	p	30:1	drink, to
48-1	C	1	p	m	p	p	p	p	p	p	p	p	p	Ø	p	p	p	p	p	p	p	75:0	eight
167-1	C	1	p	p	p	p	p	p	Ø	p	p	p	p	Ø	p	pʰ	Ø	p	pʰ	p	Ø	616:2	root
6-20	C	20	n	n	n	n	n	n	n	n	n	ɲ	n	n	n	n	n	n	n	n	n	153:0, 153:2, 467:2, 574:2, 655:2, 658:2, 425:2, 725:5, 479:0, 479:2, 4:2, 68:2, 132:0, 359:2, 456:0, 459:2, 507:2, 717:1, 791:4, 843:2	black / bread / day / ear / egg / fire / fly, to / high up / leaf / light (not heavy) / man SW person / not / road / shadow / sun / swim, to / we (inclusive) / young (male)
43-4	C	4	n	n	n	ŋ	n	n	n	n	n	ɲ	n	n	n	n	n	ŋ	n	ŋ	n	48:2, 212:2, 456:2, 593:2	ear / push, to / suck, to
123-3	C	3	n	n	n	n	n	n	n	n	n	ɲ	n	n	n	n	n	ŋ	n	ŋ	n	441:2, 554:2, 733:2	leg / neck / ten
69-2	C	2	n	n	n	ŋ	n	n	n	n	n	n	n	n	n	n	n	ŋ	n	n	n	189:4, 816:2	big / with
78-1	C	1	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	233:2	full
112-1	C	1	n	n	Ø	n	Ø	n	n	ɲ	n	n	n	n	n	n	n	n	n	n	n	373:2	bite, to
117-1	C	1	n	Ø	Ø	Ø	n	n	n	n	n	ɲ	n	n	n	Ø	n	ɴ	n	ŋ	n	399:2	knee
155-1	C	1	n	n	n	ŋ	n	n	n	n	n	ɲ	n	Ø	n	n	n	ŋ	n	n	n	567:4	nine
174-1	C	1	n	n	n	n	n	n	n	n	n	ɲ	n	Ø	Ø	n	n	ɳ	n	n	n	647:2	seven
181-1	C	1	n	n	n	n	n	n	n	ɲ	n	ɲ	Ø	Ø	n	Ø	n	n	n	n	n	660:2	sister (man's)
216-1	C	1	n	ɲ	n	ɲ	n	ɲ	ɲ	Ø	n	Ø	Ø	ɲ	Ø	ɲ	Ø	ɲ	ɲ	Ø	Ø	783:2	warm / hot SW
217-1	C	1	n	ɲ	ɲ	ɲ	ɲ	ɲ	n	n	ɲ	ɲ	ɲ	n	Ø	n	ɲ	ɲ	n	Ø	ɲ	791:0	we (inclusive)
237-1	C	1	n	-	n	n	n	n	n	Ø	n	Ø	n	Ø	n	n	n	Ø	n	n	Ø	875:2	day
4-26	C	26	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	57:0, 295:0, 309:1, 543:2, 557:0, 574:0, 709:2, 794:1, 822:3, 102:0, 148:0, 202:0, 256:0, 279:2, 308:0, 324:0, 400:0, 453:2, 577:0, 594:2, 607:0, 691:2, 721:0, 725:2, 841:2, 860:2	come, to / eat, to / elbow / fly, to / forehead / green / hand / head / high up / hit, to / knee / mouth / new / not / old (man) / push, to / rain / river / seed / speak, to / stone / sweet / swim, to / what? / woman / young (female) / young (male)
208-1	C	1	m	n	m	m	n	m	m	m	m	m	n	m	m	n	n	m	n	m	m	748:2	thou (you sg.)
209-1	C	1	m	n	m	m	m	m	m	m	m	m	m	m	m	n	m	m	m	m	n	750:2	three
25-5	C	5	l	l	l	Ø	Ø	Ø	l	l	l	l	l	l	l	l	Ø	l	Ø	Ø	l	853:1, 853:3, 334:1, 692:3, 705:0	cold / speak, to / star / wing
5-30	C	30	k	k	k	k	k	k	k	k	k	k	k	k	k	k	k	k	k	k	k	303:0, 527:0, 554:0, 632:0, 750:0, 761:0, 774:2, 512:3, 588:2, 496:0, 496:2, 36:0, 84:0, 124:0, 166:3, 174:2, 180:2, 204:2, 215:3, 371:2, 373:0, 453:0, 482:0, 536:1, 578:2, 640:2, 746:0, 848:2, 862:2, 871:1	bite, to / cloud / elbow / far (away) / flower / forehead / four / happy (be) / hit, to / live, to / moon / mountain / mouse / neck / old (man) / old (woman) / push, to / salt / see, to / small / this / three / tooth / two
8-6	C	6	k	k	k	k	k	k	k	k	k	k	k	k	k	k	k	k	k	x	k	40:2, 295:2, 348:2, 764:2, 335:2, 597:2	dry / foot / hand / hide, to / red / water
95-3	C	3	k	k	k	k	Ø	x	x	χ	k	q	Ø	χ	Ø	x	Ø	Ø	x	x	q	282:5, 286:2, 787:2	back / green / hair
124-3	C	3	k	k	k	k	g	g	g	k	k	k	g	g	k	k	g	k	k	k	k	441:3, 554:3, 733:3	leg / neck / ten
49-2	C	2	k	k	k	k	χ	k	ʁ	Ø	k	Ø	k	χ	Ø	x	k	Ø	k	x	q	83:2, 282:2	belly (stomach) / green
44-1	C	1	k	χ	k	k	k	k	k	k	k	k	k	k	k	kʰ	k	k	kʰ	x	k	57:2	eat, to
145-1	C	1	k	k	k	k	k	Ø	k	k	k	k	k	k	k	kʰ	k	Ø	kʰ	k	k	515:2	many
150-1	C	1	k	k	k	k	k	Ø	k	k	k	Ø	k	k	Ø	kʼ	k	k	kʼ	x	Ø	535:1	mouse
161-1	C	1	k	k	k	k	g	x	χ	k	k	k	k	k	k	x	-	k	x	x	k	590:2	one
171-1	C	1	k	k	kʰ	k	k	k	k	k	k	k	k	k	k	kʰ	k	k	kʰ	k	k	624:3	rope
204-1	C	1	k	k	k	k	k	k	k	k	k	k	k	Ø	k	kʼ	k	k	kʼ	k	k	721:3	sweet
220-1	C	1	k	s	k	k	-	-	ʁ	-	k	-	k	-	Ø	s	-	-	s	Ø	k	791:7	we (inclusive)
225-1	C	1	k	Ø	Ø	Ø	g	k	k	Ø	k	k	g	k	Ø	x	g	Ø	x	x	Ø	810:2	branch / elbow / wing
16-17	C	17	j	j	j	j	j	j	j	j	j	j	j	j	j	j	j	j	j	j	j	409:0, 467:0, 737:0, 737:2, 65:2, 114:1, 282:3, 319:1, 335:0, 537:0, 587:2, 594:3, 607:2, 635:2, 668:2, 738:0, 821:2	black / blood / cloud / face / green / hear, to / know, to / old (woman) / rain / river / sand / sit, to / think (over, about), to / water
37-2	C	2	j	j	j	j	j	j	j	Ø	j	j	j	j	j	j	r	j	-	j	j	30:2, 767:0	drink, to / leaf / tree
194-1	C	1	j	j	j	j	j	j	j	j	j	k	j	j	Ø	j	j	Ø	j	j	-	701:2	stand, to
221-1	C	1	j	j	r	j	j	j	j	j	j	j	j	j	j	j	r	j	j	j	j	798:0	white
68-1	C	1	h	h	h	h	h	-	-	h	h	h	x	-	h	h	h	x	h	-	-	189:0	big
77-1	C	1	h	h	h	h	h	x	-	h	h	h	x	-	h	h	h	x	h	-	-	233:0	full
110-1	C	1	h	Ø	h	h	Ø	-	-	h	h	x	Ø	-	s	Ø	Ø	x	Ø	-	Ø	359:0	high up
140-1	C	1	h	Ø	Ø	Ø	Ø	Ø	q	q	h	Ø	Ø	χ	h	Ø	Ø	χ	Ø	Ø	q	514:0	smoke
160-1	C	1	h	h	h	h	ʃ	s	s	h	h	x	ʃ	-	h	-	ʃ	x	-	s	-	590:0	one
231-1	C	1	h	h	h	h	ʃ	ʃ	ʃ	ʃ	h	ʃ	ʃ	ʃ	Ø	h	ʃ	ʃ	h	-	ʃ	860:0	come, to
101-1	C	1	-	Ø	r	ɾ	n	Ø	-	Ø	-	Ø	n	-	-	ɾ	n	-	ɾ	ɾ	Ø	319:3	hear, to
227-1	C	1	-	-	k	-	k	k	k	k	-	k	Ø	k	k	kʰ	k	k	k	k	k	828:0	bird / worm
