ID	STRUCTURE	FREQUENCY	Gyeonggi	Hwanghae	Jeju	MKorean	NChungcheong	NGyeongsang	NHamgyong	NJeolla	NPyongan	SChungcheong	SGyeongsang	SHamgyong	SJeolla	SPyongan	COGNATESETS	CONCEPTS
56-2	V	2	u	Ø	u	ɨ	u	u	Ø	u	Ø	u	u	Ø	ə	Ø	210:3, 310:1	Twenty / heavy
163-1	V	1	u	Ø	Ø	a	a	a	Ø	a	Ø	u	a	Ø	u	Ø	49:3	sky
182-1	V	1	u	Ø	o	Ø	ə	o	Ø	ə	Ø	ə	o	Ø	o	o	78:3	thatch/roof
186-1	V	1	u	Ø	-	u	u	u	Ø	ə	Ø	u	u	Ø	ə	Ø	82:1	thick
226-1	V	1	u	Ø	Ø	-	u	u	u	u	Ø	Ø	u	u	u	Ø	154:1	to rub
275-1	V	1	u	u	u	o	u	u	i	u	Ø	u	u	u	u	Ø	208:3	tree
289-1	V	1	u	Ø	Ø	-	u	a	i	Ø	Ø	a	-	i	Ø	Ø	224:3	who?
296-1	V	1	u	u	Ø	i	u	u	i	Ø	u	u	i	i	u	u	232:1	cold
307-1	V	1	u	Ø	a	a	a	Ø	Ø	o	Ø	o	Ø	o	Ø	Ø	261:3	all
365-1	V	1	u	u	u	ɨ	u	u	u	u	u	u	u	u	u	u	313:1	horn
376-1	V	1	u	-	ə	u	u	Ø	ə	ɨ	u	-	Ø	ə	-	-	330:3	knee
424-1	V	1	u	Ø	Ø	i	u	ɛ	u	e	Ø	-	e	u	i	Ø	384:4	bark (of a tree)
8-19	V	19	o	o	o	o	o	o	o	o	o	o	o	o	o	o	73:1, 193:1, 289:1, 304:1, 378:1, 27:1, 27:3, 11:5, 16:0, 28:1, 30:1, 34:3, 98:0, 101:1, 198:1, 204:1, 245:1, 286:1, 299:1	Seven / claw / fish / flower / good / hand / nose / rat / right / salt / sand / tail / to climb / to cook / to turn / to vomit / yellow
91-2	V	2	o	Ø	ɔ	o	o	o	Ø	o	u	o	o	o	u	u	161:1, 261:1	all / to sew
95-2	V	2	o	Ø	Ø	o	o	o	i	o	Ø	o	o	i	a	Ø	163:1, 308:4	heart / to shoot
113-2	V	2	o	Ø	e	a	o	Ø	Ø	o	Ø	o	Ø	Ø	o	Ø	16:5, 71:1	right / straight
158-1	V	1	o	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	35:6	sharp
191-1	V	1	o	Ø	o	o	o	e	o	Ø	Ø	o	a	o	i	Ø	97:1	to choose
264-1	V	1	o	Ø	o	o	Ø	o	Ø	o	Ø	Ø	ɨ	Ø	o	Ø	204:4	claw
335-1	V	1	o	Ø	ɔ	o	a	o	ø	o	ø	a	o	Ø	o	Ø	282:1	few
337-1	V	1	o	Ø	o	o	ɨ	ɨ	o	ɨ	o	ɨ	ɨ	Ø	ɨ	Ø	282:3	few
396-1	V	1	o	Ø	Ø	o	o	ə	Ø	o	o	o	ə	Ø	o	o	357:1	mosquito
406-1	V	1	o	Ø	o	o	o	a	Ø	o	Ø	o	a	Ø	o	Ø	363:1	narrow
412-1	V	1	o	o	Ø	o	o	o	o	o	o	o	i	o	o	o	371:1	neck
416-1	V	1	o	Ø	Ø	-	u	o	Ø	Ø	Ø	Ø	o	Ø	Ø	Ø	373:3	new
417-1	V	1	o	Ø	ɨ	o	ɨ	ɨ	Ø	ɨ	u	ɨ	ɨ	Ø	ɨ	u	376:2	Nine
1-36	V	36	i	i	i	i	i	i	i	i	i	i	i	i	i	i	73:3, 267:2, 22:5, 277:1, 7:1, 286:3, 10:2, 20:1, 24:4, 34:0, 65:6, 78:1, 96:1, 101:3, 112:1, 124:1, 150:3, 152:4, 153:1, 155:3, 173:1, 183:3, 239:3, 241:5, 257:1, 265:2, 274:1, 284:2, 307:3, 314:1, 334:0, 338:3, 341:1, 344:5, 361:0, 362:0	Fifty / Seven / child / dry / dust / ear / fat/grease / feather / fish / head / house / leaf / leg / long / louse / mouth / name / rain / rat / road / root / rope / stick/wood / tail / thatch/roof / to chew / to cook / to fall / to grow / to pound, beat / to pull / to push / to rub / to stab, pierce / woman/female / worm (earthworm)
29-3	V	3	i	i	Ø	-	i	i	i	i	i	i	i	i	i	i	33:1, 292:8, 371:5	foot / neck / seed
50-2	V	2	i	i	i	a	i	i	Ø	i	a	i	i	i	i	a	55:1, 264:4	below / dust
69-2	V	2	i	Ø	i	ɨ	e	e	Ø	a	Ø	e	i	Ø	i	Ø	98:4, 260:3	dull / to climb
83-2	V	2	i	i	i	i	i	ə	ɛ	Ø	i	i	ə	i	i	i	200:4, 242:1	to wipe / worm (earthworm)
174-1	V	1	i	e	Ø	i	u	u	Ø	u	u	u	u	Ø	u	e	63:3	spider
184-1	V	1	i	i	i	i	-	i	i	i	i	i	i	i	i	i	80:3	there
209-1	V	1	i	i	Ø	-	i	Ø	Ø	i	Ø	Ø	u	Ø	i	Ø	127:4	to hide
217-1	V	1	i	i	i	i	i	i	u	i	i	i	u	u	u	i	147:1	to plant
223-1	V	1	i	i	i	i	i	i	i	i	u	i	u	i	i	i	148:3	branch
234-1	V	1	i	Ø	-	-	-	-	Ø	u	Ø	i	-	Ø	a	Ø	165:2	above
246-1	V	1	i	-	i	i	i	i	-	i	-	i	i	i	i	Ø	187:4	to think
251-1	V	1	i	Ø	i	e	i	i	i	i	i	Ø	Ø	i	i	i	188:4	to throw
255-1	V	1	i	i	i	i	i	i	u	i	i	i	i	i	i	i	193:4	to turn
259-1	V	1	i	Ø	Ø	ɨ	i	i	Ø	i	Ø	i	i	Ø	i	Ø	199:1	to wash
272-1	V	1	i	i	ɨ	i	i	i	i	i	i	i	i	i	i	i	207:0	tooth
284-1	V	1	i	Ø	Ø	i	Ø	e	e	Ø	e	i	e	e	Ø	e	222:3	where?
295-1	V	1	i	Ø	Ø	-	Ø	-	Ø	i	Ø	i	-	Ø	i	Ø	230:6	wing
302-1	V	1	i	i	Ø	i	i	Ø	e	Ø	i	i	Ø	i	Ø	i	242:5	worm (earthworm)
347-1	V	1	i	Ø	u	i	Ø	Ø	ɨ	Ø	ɨ	Ø	Ø	ɨ	Ø	ɨ	297:1	animal
