ID	STRUCTURE	FREQUENCY	Gyeonggi	Hwanghae	Jeju	MKorean	NChungcheong	NGyeongsang	NHamgyong	NJeolla	NPyongan	SChungcheong	SGyeongsang	SHamgyong	SJeolla	SPyongan	COGNATESETS	CONCEPTS
16-18	C	18	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	6:2, 212:2, 98:1, 218:2, 16:1, 42:4, 54:4, 101:2, 120:2, 150:2, 227:4, 229:2, 249:2, 274:2, 279:0, 301:2, 307:2, 344:2	and / cloud / dirty / fat/grease / green / head / louse / person/human being / right / shy, ashamed / smooth / to climb / to cook / to flow / to pound, beat / walk / wife / wind
136-4	C	4	ɾ	Ø	Ø	ɾ	k	k͈	l	Ø	ɾ	k	Ø	l	l	ɾ	71:2, 173:2, 245:2, 344:0	louse / straight / to stab, pierce / yellow
89-3	C	3	ɾ	Ø	ɾ	t	ɾ	ɾ	l	ɾ	Ø	ɾ	ɾ	l	ɾ	Ø	56:1, 70:2, 104:2	below / straight / to cut, hack
23-2	C	2	ɾ	Ø	ɾ	ɾ	ɾ	ɾ	l	ɾ	Ø	ɾ	ɾ	l	ɾ	Ø	97:2, 170:2	to choose / to split
58-2	C	2	ɾ	ɾ	l	ɾ	ɾ	Ø	tɕ͈	Ø	ɾ	ɾ	Ø	ɾ	l	ɾ	242:2, 256:2	dry / worm (earthworm)
126-2	C	2	ɾ	Ø	Ø	-	n	l	-	Ø	Ø	Ø	l	-	m	Ø	35:5, 184:1	child / sharp
144-1	C	1	ɾ	Ø	l	l	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	22:2	root
153-1	C	1	ɾ	g	l	ɾ	k	Ø	-	k	g	-	Ø	g	k	k	30:2	sand
181-1	C	1	ɾ	-	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	73:2	tail
204-1	C	1	ɾ	l	l	ɾ	g	ɾ	Ø	g	Ø	ɾ	ɾ	Ø	-	Ø	124:2	to grow
245-1	C	1	ɾ	-	ɾ	ɾ	ɾ	ɾ	-	ɾ	-	ɾ	ɾ	ɾ	ɾ	Ø	187:3	to think
375-1	C	1	ɾ	l	ɾ	ɾ	ɾ	Ø	ɾ	ɾ	ɾ	l	Ø	ɾ	l	l	330:2	knee
383-1	C	1	ɾ	ɾ	Ø	ɾ	Ø	ɾ	Ø	Ø	Ø	Ø	ɟ	Ø	Ø	ŋ	338:2	leg
403-1	C	1	ɾ	Ø	ɾ	Ø	t	ɾ	Ø	t	Ø	t	t	Ø	Ø	Ø	362:1	name
415-1	C	1	ɾ	Ø	Ø	-	ɾ	ɾ	Ø	Ø	Ø	Ø	ɾ	Ø	Ø	Ø	373:2	new
73-2	C	2	ɟ	ɟ	Ø	-	Ø	ɟ	Ø	ɟ	d	ɟ	ɟ	ɟ	ɟ	d	264:3, 292:7	dust / foot
222-1	C	1	ɟ	ɟ	ɟ	tɕ	ɟ	tɕ	tɕʰ	ɟ	tɕ	ɟ	tɕ	ɟ	ɟ	tɕ	148:2	branch
299-1	C	1	ɟ	ɟ	Ø	tɕ	ɟ	Ø	ɟ	Ø	ɟ	ɟ	Ø	ɟ	Ø	ɟ	239:2	woman/female
414-1	C	1	ɟ	ɟ	Ø	-	ɟ	ɟ	ɟ	ɟ	ɟ	ɟ	ɾ	ɟ	ɟ	ɟ	371:4	neck
55-10	C	10	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	89:5, 317:4, 19:2, 26:2, 78:4, 137:5, 152:2, 279:2, 297:5, 327:2	and / animal / husband / intestines / river / round / thatch/roof / thunder / to hunt / to pull
60-2	C	2	ŋ	ŋ	n	ŋ	ŋ	ŋ	n	n	ŋ	ŋ	ŋ	ɟ	n	ŋ	242:4, 339:2	lightening / worm (earthworm)
109-2	C	2	ŋ	Ø	Ø	l	ŋ	l	Ø	ŋ	ŋ	ŋ	l	Ø	n	Ø	191:1, 234:5	to tie up, fasten / with
146-1	C	1	ŋ	Ø	l	h	ŋ	g	g	ŋ	k	ŋ	ŋ	g	ŋ	k	22:4	root
197-1	C	1	ŋ	Ø	ŋ	-	ŋ	ŋ	Ø	ŋ	Ø	ŋ	ŋ	Ø	ŋ	Ø	110:2	to eat
390-1	C	1	ŋ	n	ŋ	ŋ	ŋ	ŋ	Ø	ŋ	n	ŋ	ŋ	Ø	ŋ	Ø	349:2	back
137-3	C	3	Ø	Ø	h	h	ŋ	n	Ø	n	Ø	ŋ	ŋ	Ø	n	Ø	11:6, 183:1, 344:4	child / louse / rat
138-2	C	2	Ø	Ø	Ø	p	k	b	Ø	Ø	Ø	k	b	Ø	Ø	Ø	71:0, 235:2	straight / with
140-1	C	1	Ø	Ø	Ø	Ø	Ø	Ø	Ø	w	Ø	w	w	Ø	-	Ø	11:4	rat
230-1	C	1	Ø	Ø	Ø	tɕ	p	Ø	Ø	Ø	Ø	Ø	p	Ø	p	Ø	155:2	to rub
300-1	C	1	Ø	Ø	-	Ø	Ø	k͈	Ø	s	Ø	Ø	s	Ø	s	Ø	241:2	worm (earthworm)
301-1	C	1	Ø	Ø	ɾ	Ø	Ø	ŋ	Ø	ŋ	Ø	Ø	ŋ	Ø	ŋ	Ø	241:4	worm (earthworm)
308-1	C	1	Ø	Ø	Ø	Ø	Ø	h	Ø	Ø	tɕ͈	Ø	h	Ø	tɕ͈	Ø	262:3	all
309-1	C	1	Ø	Ø	Ø	l	ɟ	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	265:5	dust
