Language	Glottocode
Gyeonggi	seou1239
Hwanghae	hwan1238
Jeju	jeju1234
MKorean	midd1372
NChungcheong	chun1247
NGyeongsang	kyon1247
NHamgyong	hamg1238
NJeolla	chol1278
NPyongan	pyon1239
SChungcheong	chun1247
SGyeongsang	kyon1247
SHamgyong	hamg1238
SJeolla	chol1278
SPyongan	pyon1239
