Language	Glottocode
Amami	naze1238
Hachijo	hach1238
Kagoshima	kyus1238
Kochi	shik1243
Kyoto	kyot1238
Miyako	miya1259
Oki	okin1246
Sado	sado1237
Shuri	shur1243
Tokyo	toky1238
