Language	Glottocode
Apuri	apur1253
Apurimac	east2551
Atalla	huan1249
Ayacucho	ayac1239
Azuay	azua1234
Chachapoyas	chac1250
Chetilla	caja1238
Huallaga	hual1241
Huangascar	azan1238
HuarazHuailas	huai1241
Imbabura	imba1240
Inkawasi	lamb1276
Jauja	jauj1238
Maragua	sout2991
Napo	napo1242
Pacaraos	paca1245
Puno	puno1238
Santiagueno	sant1432
Yanac	coro1247
