Language	Glottocode
jugankhanty	khan1273
kazymkhanty	khan1273
kondakhanty	khan1273
kondamansi	khan1273
likrisovskojekhanty	khan1273
malyjjugankhanty	khan1273
middlelozvamansi	mans1258
nizjamkhanty	khan1273
northmansi	mans1258
obdorskkhanty	khan1273
pelymkamansi	mans1258
sherkalykhanty	khan1273
synjakhanty	khan1273
tavdamansi	mans1258
tremjugankhanty	mans1258
upperdemjankakhanty	khan1273
vakhkhanty	khan1273
vartovskojekhanty	khan1273
vasjugankhanty	khan1273
verkhnekalymskkhanty	khan1273
