Language	Glottocode
abui	abui1241
adang	adan1251
blagar	blag1240
kaera	kaer1234
kamang	kama1365
klon	kelo1247
kui	kuii1254
nedebang	nede1245
protoalorpantar	alor1249
sawila	sawi1256
teiwa	teiw1235
wersing	wers1238
westernpantar	lamm1241
