Language	Glottocode
Arhuaco	arhu1242
Atanque	kank1244
Bari	bari1297
Boruca	boru1252
Bribri	brib1243
Buglere	bugl1243
Cabecar	cabe1245
Cacaopera	caca1247
CentralTunebo	cent2150
Chibcha	chib1270
Chimila	chim1309
Cogui	cogu1240
Dorasque	dora1242
LencaHonduras	lenc1243
LencaSalvador	lenc1242
Malayo	mala1522
MalekuJaika	male1297
Mayangna	maya1285
Miskito	misk1235
Ngabere	ngab1239
Pech	pech1241
Rama	rama1270
SanBlasKuna	sanb1242
Teribe	teri1250
Ulwa	ulwa1239
