Language	Glottocode
Badga	bada1257
Betta_Kurumba	bett1235
Brahui	brah1256
Gondi	nort2702
Kannada	nucl1305
Kodava	koda1255
Kolami	nort2699
Kota	kota1263
Koya	koya1251
Kurukh	kuru1302
Kuwi	kuvi1243
Malayalam	mala1464
Malto	saur1249
Ollari_Gadba	pott1240
Parji	duru1236
Tamil	tami1289
Telugu	telu1262
Toda	toda1252
Tulu	tulu1258
Yeruva	ravu1237
