Language	Glottocode
Amharic	amha1245
Argobba	argo1244
Chaha	chah1248
Endegagn	eneg1238
Ezha	ezha1238
Geez	geez1241
Gumer	gume1239
Gura	gura1260
Gyeto	gyet1241
Harari	hara1271
Inor	inor1240
Kistane	kist1241
Mesqan	mesq1240
Muher	muhe1234
Silte	silt1240
Tigre	tigr1270
Tigrigna	tigr1271
Wolane	wola1253
Zway	zayy1238
