ID	STRUCTURE	FREQUENCY	jugankhanty	kazymkhanty	kondakhanty	kondamansi	likrisovskojekhanty	malyjjugankhanty	middlelozvamansi	nizjamkhanty	northmansi	obdorskkhanty	pelymkamansi	sherkalykhanty	synjakhanty	tavdamansi	tremjugankhanty	upperdemjankakhanty	vakhkhanty	vartovskojekhanty	vasjugankhanty	verkhnekalymskkhanty	COGNATESETS	CONCEPTS
262-1	V	1	ə	ə	ə	ə	ə	ə	ə	ə	ə	ə	ə	ə	ə	ə	ə	ə	ə	Ø	ə	ə	237:4	louse
26-5	V	5	ɔː	ɔː	oː	u	aː	aː	u	ɔː	oː	aː	oː	ɔː	ɔː	ɔː	ɔː	oː	aː	aː	aː	aː	75:0, 156:1, 161:0, 188:1, 217:1	dry / hand / sit / wind / year
241-1	V	1	ɔː	ɔː	oː	əː	a	ɔː	ɔ	ɔː	aː	aː	ɔ	ɔː	ɔː	æː	ɔː	oː	a	a	a	a	223:0	horn
6-2	V	2	œ	u	o	æ	œ	œ	æ	u	o	uː	æ	u	u	u	œ	o	œ	œ	œ	œ	167:1, 207:1	claw (nail) / foot
34-2	V	2	œ	a	o	æ	Ø	Ø	æ	o	a	æ	æ	a	a	ə	œ	o	œ	Ø	œ	Ø	107:1, 128:1	thou / yellow
204-1	V	1	œ	i	e	i	œ	œ	i	Ø	i	iː	i	i	i	æː	œ	e	œ	Ø	œ	Ø	175:1	come
233-1	V	1	œ	Ø	eː	o	œ	œ	oɔ	Ø	aː	Ø	oɔ	Ø	Ø	æː	œ	eː	œː	œ	œː	œː	216:1	hand
43-15	V	15	æː	aː	æː	o	æː	æː	i	aː	i	æː	i	aː	aː	Ø	æː	æː	æː	æː	æː	æː	82:0, 140:1, 12:3, 71:1, 24:1, 28:1, 58:4, 67:1, 137:1, 145:4, 150:1, 168:3, 199:2, 232:1, 241:0	all / ashes / bark / die / many / near / neck / round / say / see / short / small / snake / thin
48-2	V	2	æː	a	æ	i	œ	-	i	a	i	æː	i	a	a	i	æː	e	æː	Ø	æː	Ø	85:1, 112:1	smoke / two
74-2	V	2	æː	aː	æː	ə	Ø	æː	iː	aː	eː	æː	eː	aː	aː	iː	æː	æː	Ø	Ø	Ø	Ø	30:0, 64:1	night / sand
151-1	V	1	æː	aː	æː	i	æː	æː	i	aː	e	æː	i	aː	aː	i	æː	æː	æː	æː	æː	æː	108:1	tongue
177-1	V	1	æː	aː	æː	oɔ	æː	æː	aː	aː	aː	Ø	aː	aː	aː	æ	æː	æː	æː	æː	æː	æː	134:1	heavy
196-1	V	1	æː	aː	æː	ə	Ø	Ø	i	Ø	i	Ø	i	Ø	aː	æ	Ø	æː	Ø	Ø	Ø	Ø	166:1	burn tr.
206-1	V	1	æː	aː	æː	oɔ	æː	æː	oɔ	aː	aː	æː	oɔ	Ø	aː	æː	æː	æː	æː	Ø	æː	Ø	182:0	dog
244-1	V	1	æː	aː	æ	-	Ø	Ø	-	aː	-	æː	-	aː	aː	-	æː	æː	æː	Ø	æː	Ø	224:1	I
246-1	V	1	æː	aː	æː	ɔ	æː	æː	a	aː	aː	æː	a	aː	aː	ɔ	æː	æː	æː	æː	æː	æː	226:1	knee
68-8	V	8	æ	ɛː	eː	æ	æ	æ	æ	eː	a	eː	æ	eː	eː	æ	æ	eː	eː	æ	eː	eː	4:1, 19:1, 27:1, 48:1, 56:1, 136:0, 158:4, 183:0	drink / mountain / name / near / rain / round / seed / worm
28-2	V	2	æ	eː	eː	i	æ	æ	i	eː	i	eː	i	eː	eː	æ	æ	eː	eː	Ø	eː	Ø	183:2, 225:1	drink / kill
41-2	V	2	æ	eː	eː	Ø	æ	æ	Ø	eː	Ø	eː	Ø	eː	eː	uː	æ	eː	œː	œ	œː	œː	63:1, 95:1	sand / stone
153-1	V	1	æ	ɛː	eː	æ	æ	æ	æ	eː	u	eː	æ	eː	eː	ə	æ	eː	œː	œː	œː	œː	109:1	tooth
193-1	V	1	æ	eː	eː	ɔu	æ	æ	a	eː	a	eː	a	eː	eː	ə	æ	eː	œː	œ	œː	œː	165:1	breast
216-1	V	1	æ	ɛː	eː	æ	Ø	Ø	æ	eː	a	eː	æ	eː	eː	ə	æ	eː	eː	æ	eː	eː	196:1	eye
224-1	V	1	æ	ɛː	eː	a	æ	æ	a	eː	a	eː	æ	eː	eː	æ	æ	eː	eː	Ø	eː	eː	209:1	full
260-1	V	1	æ	eː	eː	ɔː	e	æ	aː	eː	aː	eː	a	eː	eː	æ	æ	eː	œː	Ø	œː	œː	237:1	louse
56-4	V	4	Ø	Ø	Ø	i	Ø	Ø	i	Ø	i	-	i	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	78:3, 233:3, 65:3, 89:4	lie / say / sleep / stand
67-2	V	2	Ø	Ø	Ø	i	Ø	Ø	i	Ø	i	Ø	i	Ø	Ø	ɔ	Ø	Ø	Ø	Ø	Ø	Ø	74:3, 176:3	die / sit
