ID	STRUCTURE	FREQUENCY	abui	adang	blagar	kaera	kamang	klon	kui	nedebang	protoalorpantar	sawila	teiwa	wersing	westernpantar	COGNATESETS	CONCEPTS
338-1	V	1	Ø	i	i	i	Ø	ɔ	a	Ø	Ø	Ø	i	Ø	a	1977:5	yellow
341-1	V	1	Ø	Ø	-	Ø	i	Ø	Ø	i	i	i	-	i	Ø	2012:2	breast
342-1	V	1	Ø	Ø	Ø	-	Ø	Ø	Ø	a	Ø	Ø	o	Ø	e	2018:3	bride price
348-1	V	1	Ø	e	o	u	Ø	Ø	Ø	u	Ø	Ø	o	Ø	a	2101:1	child
366-1	V	1	Ø	-	i	i	-	e	Ø	Ø	i	Ø	Ø	Ø	i	2260:0	dream
367-1	V	1	Ø	e	a	a	o	e	Ø	Ø	a	Ø	Ø	Ø	e	2260:2	dream
369-1	V	1	Ø	ɛ	o	o	Ø	ʊ	Ø	Ø	o	oː	Ø	Ø	Ø	2270:1	dry in sun
376-1	V	1	Ø	Ø	o	a	Ø	Ø	Ø	Ø	Ø	Ø	i	Ø	Ø	2288:1	earth
37-7	V	7	u	u	u	o	o	u	-	u	u	o	u	a	u	15:3, 112:2, 243:1, 708:3, 788:1, 823:2, 1779:1	(coral) reef / ash / feverish / gum tree/eucalyptus / oven / rain / to walk
52-6	V	6	u	u	i	i	u	ʊ	u	i	u	Ø	-	u	u	59:1, 528:5, 945:1, 964:1, 1182:1, 1734:3	bone / flat / lontar palm / rotten / rub / squat/crouch
64-4	V	4	u	u	u	u	-	ʊ	u	u	u	Ø	u	Ø	a	138:0, 343:3, 964:3, 1113:1	four / horn / rub / sky
156-4	V	4	u	o	u	u	u	ʊ	u	-	u	a	u	u	i	858:1, 1366:2, 1924:1, 2199:2	breadfruit / correct / rat / three
163-3	V	3	u	u	u	-	u	u	u	i	u	Ø	a	e	e	915:3, 1144:1, 1465:6	road/path / smooth / to dance
211-3	V	3	u	i	a	i	e	ɛ	e	i	a	i	i	i	a	1215:1, 1485:2, 2243:1	bite / dog / to dig
280-3	V	3	u	u	Ø	a	-	ə	u	-	Ø	Ø	ə	-	e	1602:0, 1683:1, 2337:11	eleven / to laugh / to smell
198-2	V	2	u	e	Ø	a	a	ɑ	a	-	-	a	-	a	Ø	1156:0, 1748:1	bird / to tie
236-2	V	2	u	o	u	o	Ø	-	u	-	ǝ	-	-	i	u	1332:6, 1393:2	ten / to bark
288-2	V	2	u	u	u	u	Ø	u	o	u	u	a	u	u	Ø	1628:1, 1659:1	body hair / to play
141-1	V	1	u	u	u	u	o	ʊ	u	u	u	Ø	u	o	u	773:1	one
171-1	V	1	u	uː	u	u	Ø	ʊ	u	u	u	u	u	u	u	976:1	betel nut/areca
277-1	V	1	u	u	i	i	u	ʊ	u	i	ǝ	Ø	i	Ø	i	1564:1	to hold
284-1	V	1	u	u	u	Ø	i	-	e	u	u	a	i	-	i	1624:1	to plant 1
296-1	V	1	u	Ø	u	a	u	ʊ	-	u	ǝ	Ø	a	Ø	Ø	1698:3	to spit
298-1	V	1	u	ɔ	o	o	Ø	ɔ	o	Ø	o	Ø	Ø	Ø	Ø	1740:1	to throw
317-1	V	1	u	u	u	o	Ø	-	u	Ø	u	Ø	-	Ø	u	1829:4	two
378-1	V	1	u	o	e	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2330:1	egg
380-1	V	1	u	-	Ø	Ø	-	Ø	u	Ø	Ø	Ø	Ø	Ø	u	2337:4	eleven
381-1	V	1	u	i	Ø	Ø	-	Ø	u	Ø	Ø	Ø	Ø	Ø	i	2337:9	eleven
19-10	V	10	o	o	o	u	u	o	o	u	Ø	u	u	u	a	178:1, 1737:3, 283:1, 303:3, 324:1, 382:1, 708:1, 1197:1, 1371:1, 2199:1	(coral) reef / bone / correct / good / headlice / heavy / hole / itchy / stab / three
84-5	V	5	o	ɛ	o	o	-	i	a	a	o	i	u	i	i	276:5, 588:3, 1050:1, 1271:5, 1612:3	head / marungga / shine / sweet / to live
89-4	V	4	o	-	a	a	a	-	o	o	Ø	a	u	o	Ø	308:0, 319:2, 1173:5, 1335:3	help / hit (drum) / spider / ten
97-3	V	3	o	o	i	a	o	o	o	i	o	Ø	a	Ø	u	387:1, 514:0, 1035:3	jackfruit / liver / shark
119-3	V	3	o	o	o	o	o	ɔ	o	u	o	Ø	o	u	a	562:1, 961:1, 1148:1	banana / rub / snake
205-3	V	3	o	i	i	i	o	-	-	Ø	-	ɔ	e	u	i	1182:3, 1822:1, 2270:3	dry in sun / squat/crouch / turtle
215-3	V	3	o	u	o	o	o	o	Ø	o	o	Ø	o	o	Ø	1229:2, 1503:1, 2180:1	coral (rock) / stomach / to drop
94-2	V	2	o	-	e	a	Ø	aː	a	a	Ø	Ø	aː	Ø	a	379:1, 467:0	itchy / lie (tell untruth)
108-2	V	2	o	a	-	a	Ø	Ø	o	a	Ø	Ø	a	Ø	a	467:2, 1041:3	lie (tell untruth) / sharp
180-2	V	2	o	-	i	o	e	Ø	-	i	Ø	Ø	a	Ø	u	1008:3, 1822:4	search/hunt for / turtle
245-2	V	2	o	o	a	o	Ø	Ø	Ø	a	ǝ	u	u	o	a	1393:1, 1424:3	to bark / to cook
318-2	V	2	o	i	a	a	a	a	a	a	a	Ø	a	Ø	e	1834:0, 2101:2	child / vagina
259-1	V	1	o	i	i	i	Ø	Ø	i	i	i	Ø	i	Ø	Ø	1474:1	to die
285-1	V	1	o	i	i	Ø	-	i	i	i	i	i	a	i	i	1624:3	to plant 1
315-1	V	1	o	aː	a	a	Ø	ʊ	u	Ø	a	Ø	a	Ø	a	1829:2	two
217-1	V	1	iː	u	a	a	o	ɔ	o	a	a	a	a	o	Ø	1233:1	stone
61-5	V	5	i	i	i	i	i	i	i	e	Ø	a	i	-	a	100:1, 231:7, 621:1, 882:1, 1132:4	fly / green / mosquito / right / small
80-5	V	5	i	-	u	i	Ø	-	i	a	Ø	u	-	-	e	254:2, 1003:5, 1336:4, 1765:5, 2330:3	egg / guts / scratch / tendon / to vomit
43-3	V	3	i	u	u	u	i	u	-	u	-	i	a	i	u	31:5, 39:1, 98:1	arrow / fingernail / flower
50-3	V	3	i	ɛ	i	i	i	-	a	i	i	i	a	i	i	55:3, 308:4, 882:3	five / help / right
59-3	V	3	i	i	a	a	-	u	o	-	-	a	a	u	-	98:3, 397:2, 823:3	bad / flower / rain
65-3	V	3	i	-	-	i	u	ɪ	i	i	i	i	i	i	e	155:0, 514:2, 817:2	fruit / liver / person
113-3	V	3	i	Ø	-	i	i	i	i	e	i	i	i	i	i	482:3, 518:1, 728:3	bamboo / long / nose
125-3	V	3	i	a	u	i	a	ɛ	-	Ø	i	Ø	Ø	Ø	Ø	588:5, 1129:2, 1132:1	marungga / slave / small
110-2	V	2	i	i	o	-	Ø	-	a	i	Ø	a	i	Ø	Ø	467:4, 2139:1	climb / lie (tell untruth)
184-2	V	2	i	e	-	-	i	-	i	a	-	i	-	-	a	1034:4, 1567:4	betel vine / to hunt
186-2	V	2	i	i	i	i	Ø	ɪ	i	i	i	i	i	i	i	1106:1, 1644:3	sit / to pull
200-2	V	2	i	a	a	-	Ø	-	a	a	Ø	-	-	Ø	Ø	1157:3, 1278:5	bitter / sore/wound
240-2	V	2	i	a	a	o	Ø	-	a	a	a	a	-	-	a	1342:4, 1430:3	black / to count
270-2	V	2	i	ɛ	e	e	-	ɛ	e	e	e	a	a	Ø	a	1539:2, 2350:1	eye / to give
116-1	V	1	i	i	a	a	i	ɛ	o	a	-	Ø	-	-	e	498:2	lime
135-1	V	1	i	a	i	i	u	ə	a	a	a	i	Ø	-	a	717:1	new (house)
188-1	V	1	i	i	-	o	Ø	-	a	i	-	i	i	-	i	1106:3	sit
233-1	V	1	i	ɛ	-	i	-	-	-	i	i	Ø	a	Ø	i	1329:5	teeth
243-1	V	1	i	-	e	Ø	Ø	i	i	a	-	Ø	i	Ø	i	1345:2	thatch
292-1	V	1	i	-	i	u	Ø	-	Ø	-	i	i	-	i	Ø	1659:3	body hair
307-1	V	1	i	ɛ	Ø	e	Ø	ɛ	i	e	e	Ø	i	Ø	e	1806:3	tongue
309-1	V	1	i	-	Ø	-	Ø	-	e	u	-	Ø	i	Ø	u	1806:5	tongue
344-1	V	1	i	Ø	-	-	Ø	Ø	Ø	a	a	i	a	Ø	Ø	2076:4	chase away/expel
363-1	V	1	i	i	Ø	-	e	i	Ø	Ø	i	Ø	i	Ø	i	2208:4	crocodile
375-1	V	1	i	Ø	Ø	a	i	-	Ø	a	i	i	a	a	e	2284:5	ear
35-8	V	8	e	o	o	o	-	ɛ	e	a	a	i	a	e	a	14:1, 99:3, 177:1, 254:1, 528:3, 634:1, 734:1, 1424:1	father / fly / good / guts / lontar palm / mother / old (people) / to cook
102-7	V	7	e	i	i	o	e	i	e	i	i	i	-	e	a	397:4, 946:3, 1227:1, 1485:1, 1567:6, 2096:1, 2267:3	bad / chicken / dry / rotten / stick/pole / to dig / to hunt
49-5	V	5	e	i	i	i	i	ə	e	i	i	o	u	e	a	55:1, 475:1, 946:1, 1358:3, 1567:0	five / light / rotten / thin / to hunt
161-5	V	5	e	i	e	e	e	ɛ	e	a	e	i	e	e	a	911:3, 978:1, 1399:1, 2029:1, 2349:1	bedbug / burn/shine / eye / sand / to bathe
74-4	V	4	e	ɛ	i	e	i	e	e	o	Ø	i	i	i	Ø	206:1, 861:1, 1408:4, 1815:1	bow / grass/brush / rattan / to breathe
219-3	V	3	e	u	u	u	Ø	o	u	u	uː	Ø	-	u	Ø	1247:0, 1336:1, 1683:3	sugarcane / tendon / to smell
174-2	V	2	e	a	e	a	a	a	e	Ø	ǝ	Ø	a	e	o	996:1, 2275:2	dust/fine earth / scorpion
181-2	V	2	e	e	a	a	a	ɛ	e	a	a	a	e	a	e	1034:1, 1579:3	betel vine / to kill
263-2	V	2	e	u	a	a	a	u	Ø	-	a	e	-	a	a	1512:1, 1544:3	to eat / to guard
267-2	V	2	e	o	-	e	e	ɛ	e	e	-	-	ə	Ø	Ø	1527:3, 2076:1	chase away/expel / to flow
133-1	V	1	e	-	e	i	i	ɛ	e	u	-	i	Ø	Ø	u	664:3	name
152-1	V	1	e	i	e	e	e	e	e	e	a	i	a	e	a	820:1	pig
231-1	V	1	e	ɛ	e	a	e	ɛ	e	-	a	Ø	-	Ø	a	1329:3	teeth
256-1	V	1	e	iː	e	e	e	ɛ	e	e	a	i	e	e	a	1434:1	blood
272-1	V	1	e	u	Ø	u	u	u	Ø	Ø	u	Ø	Ø	Ø	u	1544:1	to guard
290-1	V	1	e	a	a	o	e	a	Ø	Ø	-	Ø	Ø	Ø	a	1637:3	to pound
328-1	V	1	e	i	a	i	i	a	e	i	i	i	i	i	Ø	1857:1	water (fresh)
343-1	V	1	e	Ø	e	e	Ø	Ø	Ø	i	i	i	i	Ø	Ø	2076:3	chase away/expel
373-1	V	1	e	Ø	Ø	a	a	ɛ	Ø	a	a	a	a	e	u	2284:3	ear
340-2	V	2	aː	e	aː	a	a	ɑ	a	a	a	a	a	a	Ø	2012:0, 2176:4	breast / cooked rice
