ID	STRUCTURE	FREQUENCY	Beijing	Changsha	Chengdu	Guangzhou	Guixian	Hangzhou	Hefei	Jinan	Kunming	Meixian	Nanchang	Shanghai	Shexian	Taiyuan	Xiamen	COGNATESETS	CONCEPTS
35-2	C	2	tɕ	ts	tɕ	k	tɕ	tɕ	tɕ	tɕ	tɕ	k	tɕ	tɕ	ts	tɕ	k	300:0, 646:0	freeze / soya sauce
133-2	C	2	tɕ	k	tɕ	Ø	tɕ	tɕ	tɕ	tɕ	tɕ	ts	k	tɕ	ts	tɕ	Ø	177:3, 811:5	fingernail / rooster
135-2	C	2	tɕ	k	tɕ	Ø	tɕ	tɕ	tɕ	tɕ	-	k	Ø	k	k	tɕ	Ø	659:3, 712:0	beggar / self
273-1	C	1	tɕ	Ø	tʰ	m	tɕ	ts	ts	tɕ	tɕ	n	Ø	tɕ	m̩	-	-	110:3	chicken / leg / mother / son / sparrow / star
334-1	C	1	tɕ	k	k	k	tɕ	Ø	ts	tɕ	tɕ	k	k	tɕ	k	tɕ	Ø	411:4	rooster
422-1	C	1	tɕ	ts	tɕ	ts	tɕ	dʑ	Ø	tɕ	tɕ	Ø	tɕʰ	Ø	tsʰ	tɕ	Ø	678:4	clean
462-1	C	1	tɕ	k	x	h	k	Ø	tɕ	tɕ	k	Ø	k	Ø	k	tɕ	kʰ	765:0	rainbow
69-5	C	5	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	126:0, 277:3, 320:3, 444:4, 714:0	cabbage / chimney / rainbow / spinach / thick
87-2	C	2	tsʰ	ts	tsʰ	tsʰ	tsʰ	dz	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	z	tsʰ	tsʰ	Ø	74:0, 605:0	chicken / from
54-25	C	25	ts	ts	ts	ts	ts	ts	ts	ts	ts	ts	ts	ts	ts	ts	ts	392:0, 641:0, 5:4, 44:0, 68:0, 160:4, 301:3, 305:0, 358:0, 371:9, 372:5, 406:4, 426:0, 438:3, 465:0, 487:3, 510:0, 528:0, 530:0, 540:0, 546:0, 652:3, 734:8, 843:4, 861:0	a while / beggar / breakfast / chopsticks / dirty / forefinger / house / how / in the middle / kitchen / left / left hand / lunch / mouse / neck / nose / right hand / self / spoon / table / wheat / window
261-4	C	4	ts	k	k	s	k	k	k	ts	l	k	k	k	k	ts	Ø	73:0, 95:4, 222:0, 526:4	boy / forehead / on / son
351-1	C	1	ts	Ø	s	Ø	ts	Ø	ts	ʂ	ts	s	Ø	s	Ø	ts	ts	502:3	cook
433-1	C	1	ts	Ø	ts	Ø	Ø	Ø	ts	-	ts	Ø	Ø	Ø	Ø	ts	Ø	712:8	beggar
205-7	C	7	t	t	n	t	l	t	t	t	t	Ø	Ø	t	t	t	-	42:4, 711:3, 305:3, 382:11, 390:0, 550:8, 699:0	and / beggar / breakfast / cold / freeze / husband / man / wife / woman
