,ds_id,Dataset,Concepts,Languages,Diversity,Distances,SoundsTotal,SoundsAverage,WordLength,WordLengthAverage,WordsPerLanguage
0,houchinese,1816,139,15,0.05307096004770424,0.17336130323959706,113,42.53333333333333,5.5699339207048455,5.525929709464105,121.06666666666666
1,constenlachibchan,1214,106,24,0.09657039711191336,0.41722254830656724,65,20.875,3.095551894563427,3.080458802082834,50.583333333333336
2,zhivlovobugrian,1879,110,20,0.04013566986998304,0.20239781719879849,66,32.55,3.4443853113358167,3.447768542873191,93.95
3,crossandean,2637,150,19,0.02694008845999196,0.1546071283031659,65,28.894736842105264,4.221463784603716,4.221624818240504,138.78947368421052
4,hattorijaponic,1710,197,10,0.02511566424322538,0.08531874127538805,61,34.6,4.099415204678363,4.080974251165246,171.0
5,leekoreanic,1960,205,14,0.013675213675213675,0.057154697852068746,40,36.714285714285715,3.9127551020408164,3.907295733757095,140.0
6,dravlex,1341,100,20,0.06365834004834811,0.23714835808129847,68,35.9,3.930648769574944,3.821044148131173,67.05
7,felekesemitic,2412,150,19,0.04995579133510168,0.2759884791643213,76,44.68421052631579,4.669568822553897,4.648540417484121,126.94736842105263
8,robinsonap,1424,216,13,0.030629139072847682,0.12487451994007612,39,23.692307692307693,3.768960674157303,3.7638001280940454,109.53846153846153
9,walworthpolynesian,6113,207,31,0.049779884862851335,0.22545619700183786,44,20.64516129032258,4.0706690659250775,4.068277684079133,197.19354838709677
